a little	một chút
semi-destructive test	sự thử bán hủy 
semi-fixed girder 	dầm cố định một đầu 
senate	thượng nghi viện, ban giám hiệu
senator	thượng nghị sĩ
send	gửi, phái đi
senior	nhiều tuổi hơn, dành cho trẻ em trên 11t; người lớn tuổi hơn, sinh viên năm cuối trường trung học, cao đẳng
sense	giác quan, tri giác, cảm giác
sensible	có óc xét đoán; hiểu, nhận biết được
sensitive	dễ bị thương, dễ bị hỏng; dễ bị xúc phạm
sensitivity test	sự thử tính nhạy cảm; sự thử độ mẫn cảm 
sentence	câu
separate	khác nhau, riêng biệt; làm rời, tách ra, chia tay
separated	ly thân
separately	không cùng nhau, thành người riêng, vật riêng
separation	sự chia cắt, phân ly, sự chia tay, ly thân
september	tháng 9
series	loạt, dãy, chuỗi
serious	đứng đắn, nghiêm trang
seriously	đứng đắn, nghiêm trang
servant	người hầu, đầy tớ
serve	phục vụ, phụng sự
service	sự phục vụ, sự hầu hạ
service load 	tải trọng sử dụng, tải trọng có ích 
service test	sự thử vận hành; sự thử khai thác sử dụng 
session	buổi họp, phiên họp, buổi, phiên
set	bộ, bọn, đám, lũ; đặt để, bố trí
set fire to	đốt cháy cái gì
setting load 	tải trọng khi lắp ráp 
settle	giải quyết, dàn xếp, hòa giải, đặt, bố trí
several	vài
severe	khắt khe, gay gắt
severely	khắt khe, gay gắt
sew	may, khâu
sewing	sự khâu, sự may vá
sex	giới, giống
sexual	giới tính, các vấn đề sinh lý
sexually	giới tính, các vấn đề sinh lý
shade	bóng, bóng tối
shadow	bóng, bóng tối, bóng râm, bóng mát
shaft frictional capacity 	ma sát xung quanh cọc
shake	rung, lắc, giũ; sự rung, sự lắc, sự giũ
shall modal	dự đoán tương lai: sẽ
shallow	nông, cạn
shallow beam 	dầm thấp 
shame	sự xấu hổ, thẹn thùng, sự ngượng
shape	hình, hình dạng, hình thù
shape steel	thép hình
shaped	có hình dáng được chỉ rõ
share	đóng góp, tham gia, chia sẻ; phần đóng góp, phần tham gia, phần chia sẻ
sharp	sắc, nhọn, bén
sharply	sắc, nhọn, bén
shatter test	sự thử đập vỡ 
shave	cạo
she	nó, bà ấy, chị ấy, cô ấy...
shear carried by concrete	lực cắt do phần bê tông chịu
shear load 	lực cắt 
shear reinforcement	cốt thép chịu cắt
shearing strength 	độ bền trượt
shearing test	sự thử bằng cách cắt 
sheep	con cừu
sheet	chăn, khăn trải giường; lá, tấm, phiến, tờ
sheet pile	cọc ván, cọc ván thép
sheet pile	cọc ván, cọc ván thép
shelf	kệ, ngăn, giá
shell	vỏ, mai; vẻ bề ngoài
shelter	sự nương tựa, sự che chở, sự ẩn náu; che chở, bảo vệ
shift	đổi chỗ, dời chỗ, chuyển, giao; sự thay đổi, sự luân phiên
shine	chiếu sáng, tỏa sáng
shiny	sáng chói, bóng
ship	tàu, tàu thủy
shirt	áo sơ mi
shock	sự đụng chạm, va chạm, sự kích động, sự choáng; chạm mạnh, va mạnh, gây sốc
shock load 	tải trọng va chạm 
shock test	sự thử va đập 
shocked	bị kích động, bị va chạm, bị sốc
shocking	gây ra căm phẫn, tồi tệ, gây kích động
shoe	giày
shoot	vụt qua, chạy qua, ném, phóng, bắn; đâm ra, trồi ra
shooting	sự bắn, sự phóng đi
shop	cửa hàng; đi mua hầng, đi chợ
shopping	sự mua sắm
short	ngắn, cụt
short-circuit test	sự thử ngắn mạch 
shortly	trong thời gian ngắn, sớm
shot	đạn, viên đạn
should modal	nên
shoulder	vai
shout	hò hét, reo hò; sự la hét, sự hò reo
show	biểu diễn, trưng bày; sự biểu diễn, sự bày tỏ
shower	vòi hoa sen, sự tắm vòi hoa sen
shut	đóng, khép, đậy; tính khép kín
shutter 	cốp pha 
shy	nhút nhát, e thẹn
sick	ốm, đau, bệnh
side	mặt, mặt phẳng
sideways	ngang, từ một bên; sang bên
sight	cảnh đẹp; sự nhìn
sign	dấu, dấu hiệu, kí hiệu; đánh dấu, viết ký hiệu
signal	dấu hiệu, tín hiệu; ra hiệu, báo hiệu
signature	chữ ký
signboard (billboard) 	bảng báo hiệu
significant	nhiều ý nghĩa, quan trọng
significantly	đáng kể
silence	sự im lặng, sự yên tĩnh
silent	im lặng, yên tĩnh
silicon steel	thép silic
silk	tơ , chỉ, lụa
silly	ngớ ngẩn, ngu ngốc, khờ dại
silver	bạc, đồng bạc; làm bằng bạc, trắng như bạc
similar	giống như, tương tự như
similarly	tương tự, giống nhau
simple	đơn, đơn giản, dễ dàng
simply	một cách dễ dàng, giản dị
simulation test	sự thử bằng phương pháp mô phỏng 
since	từ, từ khi; từ khi, từ lúc đó; từ đó, từ lúc ấy
sincere	thật thà, thẳng thắng, chân thành
sincerely	một cách chân thành
sing	hát, ca hát
singer	ca sĩ
singing	sự hát, tiếng hát
single	đơn, đơn độc, đơn lẻ
single non central load 	tải trọng tập trung không đúng tâm 
single test	sự thử đơn chiếc, sự thử từng cái 
single wine, individual wire	sợi đơn lẻ (cốt thép sợi)
sink	chìm, lún, đắm
sir	xưng hô lịch sự ngài, ông
sister	chị, em gái
sit	ngồi
sit down	ngồi xuống
site	chỗ, vị trí
site fence 	tường rào công trường
site hut (site office ) 	lán (công trường)
site investigation report 	báo cáo khảo sát hiện trường
situation	hoàn cảnh, địa thế, vị trí
size	cỡ
sized	đã được định cỡ
skilful	tài giỏi, khéo tay
skilfully	tài giỏi, khéo tay
skill	kỹ năng, kỹ sảo
skilled	có kỹ năng, có kỹ sảo, khẻo tay; có kinh nghiệm,, lành nghề
skin	da, vỏ
skin reinforcement	cốt thép phụ đặt gần sát bề mặt
skirt	váy, đầm
sky	trời, bầu trời
slab reinforced in both directions	bản đặt cốt thép hai hướng
slab reinforcement	cốt thép bản mặt cầu
slag concrete 	bê tông xỉ 
sleep	ngủ; giấc ngủ
sleeve	tay áo, ống tay
slender beam 	dầm mảnh
slice	miếng, lát mỏng; cắt ra thành miếng mỏng, lát mỏng
slide	trượtc, chuyển động nhẹ, lướt qua
sliding agent	chất bôi trơn cốt thép dự ứng lực
sliding form	ván khuôn trượt
slight	mỏng manh, thon, gầy
slightly	mảnh khảnh, mỏng manh, yếu ớt
slip	trượt, tuột, trôi qua, chạy qua
slope	dốc, đường dốc, độ dốc; nghiêng, dốc
slow	chậm, chậm chạp
slowly	một cách chậm chạp, chậm dần
sludge test	sự xác định hàm lượng cặn 
slump	độ sụt (hình nón) của bê tông
slump test	sự thử nghiệm độ sụt của vữa bê tông 
small	nhỏ, bé
small girder 	dầm con; xà con 
smart	mạnh, ác liệt
smash	đập, vỡ tan thành mảnh; sự đập, vỡ tàn thành mảnh
smell	ngửi; sự ngửi, khứu giác
smile	cười, mỉm cười; nụ cười, vẻ tươi cười
smoke	khói, hơi thuốc; hút thuốc, bốc khói, hơi
smoking	sự hút thuốc
smooth	nhẵn, trơn, mượt mà
smoothly	một cách êm ả, trôi chảy
snake	con rắn; người nham hiểm, xảo trá
snow	tuyết; tuyết rơi
snow load 	tải trọng (do) tuyết 
so	như vậy, như thế; vì thế, vì vậy, vì thế cho nên
so that	để, để cho, để mà
soap	xà phòng
social	có tính xã hội
socially	có tính xã hội
society	xã hội
sock	tất ngăns, miếng lót giày
socle beam 	dầm hẫng; dầm công xôn 
socle girder 	dầm công xôn 
soft	mềm, dẻo
softly	một cách mềm dẻo
software	phần mềm
soil	đất trồng; vết bẩn
soil bearing test	sự thử khả năng chịu tải của đất
soil test	sự thử đất trồng 
soldier	lính, quân nhân
solid	rắn; thể rắn, chất rắnh
solid web girder 	dầm khối 
solubility test	sự thử độ hòa tan
solution	sự giải quyết, giải pháp
solve	giải, giải thích, giải quyết
some	một it, một vài
somebody	người nào đó
somehow	không biết làm sao, bằng cách này hay cách khác
something	một điều gì đó, một việc gì đó, một cái gì đó
sometimes	thỉnh thoảng, đôi khi
somewhat	đến mức độ nào đó, hơi, một chút
somewhere	nơi nào đó. đâu đó
son	con trai
song	bài hát
soon	sớm, chẳng bao lâu nữa
sore	đau, nhức
sorry	xin lỗi, lấy làm tiếc, lấy làm buồn
sort	thứ, hạng loại; lựa chọn, sắp xếp, phân loại
soul	tâm hồn, tâm trí, linh hồn
sound	âm thanh; nghe
soup	xúp, canh, cháo
sour	chua, có vị giấm
source	nguồn
south	phương nam, hướng nam; ở phía nam; hướng về phía nam
southern	thuộc phương nam
space	khoảng trống, khoảng cách
spacing of prestressing steel	khoảng cách giữa các cốt thép dự ứng lực
spalled concrete	bê tông đã bị tách lớp (bị bóc lớp)
span/depth ratio	tỷ lệ chiều dài nhịp trên chiều cao dầm
spare	thừa thãi, dự trữ, rộng rãi; đồ dự trữ, đồ dự phòng
speak	nói
speaker	người nói, người diễn thuyết
special	đặc biệt, riêng biệt
specialist	chuyên gia, chuyên viên
specially	đặc biệt, riêng biệt
specific	đặc trưng, riêng biệt
specifically	đặc trưng, riêng biệt
specified rated load 	tải trọng danh nghĩa 
specimen test	sự thử vật mẫu 
speech	sự nói, khả năng nói, lời nói, cách nói, bài nói
speed	tốc độ, vận tốc
spell	đánh vần; sự thu hút, sự quyến rũ, say mê
spelling	sự viết chính tả
spend	tiêu, xài
spice	gia vị
spicy	có gia vị
spider	con nhện
spin	quay, quay tròn
spiral reinforced column	cột có cốt thép xoắn ốc
spiral reinforcement	cốt thép xoắn ốc
spirit	tinh thần, tâm hồn, linh hồn
spirit level 	ống ni vô của thợ xây
spiritual	tinh thần, linh hồn
spite	sự giận, sự hận thù;
splice	nối ghép, nối dài ra
splice plat, scab	bản nối phủ
splicing method	phương pháp nối cọc
split	chẻ, tách, chia ra; sự chẻ, sự tách, sự chia ra
split beam 	dầm ghép, dầm tổ hợp 
spoil	cướp, cướp đọat
spoken	nói theo 1 cách nào đó
spoon	cái thìa
sport	thể thao
spot	dấu, đốm, vết
spray	máy, ống, bình phụt, bơm, phun; bơm, phun, xịt
sprayed concrete 	bê tông phun 
sprayed concrete, shotcrete,	bê tông phun
spread	trải, căng ra, bày ra; truyền bá
spring	mùa xuân
spring beam 	dầm đàn hồi 
square	vuông, vuông vắn; dạng hình vuông, hình vuông
square hollow section	thép hình vuông rỗng
squeeze	ép, vắt, xiết; sự ép, sự vắt, sự xiết
stable	ổn định, bình tĩnh, vững vàng; chuồng ngưa
stack of bricks 	đống gạch, chồng gạch
stacked shutter boards (lining boards)	đống van gỗ cốp pha, chồng ván gỗ cốp pha
staff	gậy
stage	tầng, bệ
stainless steel	thép không gỉ
stair	bậc thang
stamp	tem; dán tem
stamped concrete 	bê tông đầm 
stand	đứng, sự đứng
stand up	đứng đậy
standard	tiêu chuẩn, chuẩn, mãu; làm tiêu chuẩn, phù hợp với tiêu chuẩn
standard brick 	gạch tiêu chuẩn
star	ngôi sao, dán sao, trang trí hình sao, đánh dấu sao
stare	nhìm chằm chằm; sự nhìn chằm chằm
start	bắt đầu, khởi động; sự bắt đầu, sự khởi đầu, khởi hành
start date 	ngày khởi công
state	nhà nước, quốc gia, chính quyền;  nhà nước, có liên quan đến nhà nước; phát biểu, tuyên bố
statement	sự bày tỏ, sự phát biểu; sự tuyên bố, sự trình bày
static hardness test	sự thử độ cứng tĩnh 
static load 	tĩnh tải 
static test	sự thử tĩnh; sự thử bằng tải trọng tĩnh 
static torsion test	sự thử độ xoắn tĩnh 
station	trạm, điểm, đồn
statue	tượng
status	tình trạng
stay	ở lại, lưu lại; sự ở lại, sự lưu lại
steadily	vững chắc, vững vàng, kiên định
steady	vững chắc, vững vàng, kiến định
steady load 	tải trọng ổn định 
steadyưload test	sự thử bằng tải trọng không đổi
steal	ăn cắp, ăn trộm
steam	hơi nước
steamed concrete 	bê tông đã bốc hơi nước 
steamưpressure test	sự thử bằng áp lực hơi nước 
steel	thép, ngành thép
steel	thép
steel concrete 	bê tông cốt thép 
steel elongation	độ dãn dài của cốt thép
steel h pile	cọc thép hình h 
steel percentage	hàm lượng thép trong bê tông cốt thép
steel percentage	hàm lượng thép trong bê tông cốt thép
steel pipe filled with	ống thép nhồi bê tông
steel pipe filled with	ống thép nhồi bê tông
steel pipe pile, tubular steel pile	cọc ống thép
steel stress at jacking end	ứng suất thép ở đầu kích kéo căng
steel with particular properties	thép có tính chất đặc biệt
steep	dốc, dốc đứng
steeply	dốc, cheo leo
steer	lái
step	bước; bước, bước đi
stick	đâm, thọc, chọc, cắm, dính; cái gậy, qua củi, cán
stick out	đòi, đạt được cái gì
sticky	dính, nhớt
stiff	cứng, cứng rắn, kiên quyết
stiff concrete 	vữa bê tông cứng, vữa bê tông đặc 
stiff reinforcement 	cốt (thép) cứng 
stiffened angles	neo bằng thép góc có sườn tăng cường
stiffening girder 	dầm cứng 
stiffly	cứng, cứng rắn, kiên quyết
still	đứng yên; vẫn, vẫn còn
sting	châm, chích, đốt; ngòi, vòi ; sự châm, chích..
stir	khuấy, đảo
stirrup,link,lateral tie	cốt thép đai (dạng thanh)
stock	kho sự trữ, hàng dự trữ, vốn
stomach	dạ dày
stone	đá
stone concrete 	bê tông đá dăm 
stop	dừng, ngừng, nghỉ, thôi; sự dừng, sự ngừng, sự đỗ lại
store	cửa hàng, kho hàng; tích trữ, cho vào kho
storm	cơn giông, bão
story	chuyện, câu chuyện
stove	bếp lò, lò sưởi
straight	thẳng, không cong
straight reinforcement	cốt thép thẳng
strain	sự căng thẳng, sự căng
straining beam 	thanh giằng, thanh kéo 
strange	xa lạ, chưa quen
strangely	lạ, xa lạ, chưa quen
stranger	người lạ
strategy	chiến lược
stream	dòng suối
street	phố, đườmg phố
strenghening steel	thép tăng cường
strength	sức mạnh, sức khỏe
strength test	sự thử độ bền 
strengthening reinforcement	cốt thép tăng cường thêm
stress	sự căng thẳng; căng thẳng, ép, làm căng
stress at anchorages after seating	ứng suất cốt thép dự ứng lực ở sát neo sau khi tháo kích
stressed	bị căng thẳng, bị ép, bị căng
stretch	căng ra, duỗi ra, kéo dài ra
stretching bond 	cách xây hàng dài (gạch xây dọc)
stretching course 	hàng, lớp xây dọc
strict	nghiêm khắc, chặt chẽ,, khắt khe
strictly	một cách nghiêm khắc
strike	đánh, đập, bãi công, đình công; cuộc bãi công, cuộc đình công
striking	nổi bật, gây ấn tượng
string	dây, sợi dây
strip	cởi, lột ; sự cởi quần áo
stripe	sọc, vằn, viền
striped	có sọc, có vằn
stroke	cú đánh, cú đòn; cái vuốt ve, sự vuốt ve; vuốt ve
strong	khỏe, mạnh, bền, vững, chắc chắn
strongly	khỏe, chắc chắn
structral hollow section	thép hình rỗng làm kết cấu
structural engineering	kết cấu
structural section	thép hình xây dựng
structural steel	thép kết cấu
structural test	sự thử cấu trúc 
structure	kết cấu, cấu trúc
struggle	đấu tranh; cuộc đấu tranh, cuộc chiến đấu
strutting beam 	dầm ngang, xà ngang; thanh giằng (vì kèo) 
stud shear connector	neo kiểu đinh (của dầm thép liên hợp bê tông)
stud shear connector	neo kiểu đinh (của dầm thép liên hợp bê tông)
student	sinh viên
studio	xưởng phim, trường quay; phòng thu
study	sự học tập, sự nghiên cứu; học tập, nghiên cứu
stuff	chất liệu, chất
stupid	ngu ngốc, ngu đần, ngớ ngẩn
style	phong cách, kiểu, mẫu, loại
subcontracting 	thầu phụ
subcontractor 	nhà thầu phụ
subject	chủ đề, đề tài; chủ ngữ
substance	chất liệu; bản chất; nội dung
substantial	thực tế, đáng kể, quan trọng
substantially	về thực chất, về căn bản
substitute	người, vật thay thế; thay thế
succeed	nối tiếp, kế tiếp; kế nghiệp, kế vị
success	sự thành công,, sự thành đạt
successful	thành công, thắng lợi, thành đạt
successfully	thành công, thắng lợi, thành đạt
successive	nối tiếp nhau
such	như thế, như vậy, như là
such as	đến nỗi, đến mức
suck	bú, hút; hấp thụ, tiếp thu
sudden	thình lình, đột ngột
sudden load 	tải trọng đột ngột, sự chất tải đột ngột, sự chất tải đột biến 
suddenly	thình lình, đột ngột
suddenly applied load 	tải trọng tác dụng đột biến 
suffer	chịu đựng, chịu thiệt hại, đau khổ
suffering	sự đau đớn, sự đau khổ
sufficient	đủ, thích đáng
sufficiently	đủ, thích đáng
sugar	đường
suggest	đề nghị, đề xuất; gợi
suggestion	sự đề nghị, sự đề xuất, sự khêu gợi
suit	bộ com lê, trang phục; thích hợp, quen, hợp với
suitable	hợp, phù hợp, thích hợp với
suitcase	va li
suited	hợp, phù hợp, thích hợp với
sum	tổng, toàn bộ
sum of skin friction 	tổng ma sát (vỏ)
summary	bản tóm tắt
summer	mùa hè
sun	mặt trời
sunday	chủ nhật
superelevation	siêu cao
superimposed load 	tải trọng phụ thêm 
superior	cao, chất lượng cao
supermarket	siêu thị
supersonic test	sự thử bằng siêu âm 
supply	sự cung cấp, nguồn cung cấp; cung cấp, đáp ứng, tiếp tế
support	sự chống đỡ, sự ủng hộ; chống đỡ, ủng hộ
supporter	vật chống đỡ; người cổ vũ, người ủng hộ
supporting beam 	dầm đỡ, xà đỡ 
suppose	cho rằng, tin rằng, nghĩ rằng
surcharge load 	sự quá tải 
sure	chắc chắn, xác thực
surely	chắc chắn
surface	mặt, bề mặt
surface load 	tải trọng bề mặt 
surname	họ
surprise	sự ngạc nhiên, sự bất ngờ; làm ngạc nhiên, gây bất ngờ
surprised	ngạc nhiên
surprising	làm ngạc nhiên, làm bất ngờ
surprisingly	làm ngạc nhiên, làm bất ngờ
surround	vây quanh, bao quanh
surrounding	sự vây quanh, sự bao quanh
surroundings	vùng xung quanh, môi trường xung quanh
survey	sự nhìn chung, sự khảo sát; quan sát, nhìn chung, khảo sát, nghiên cứu
survive	sống lâu hơn, tiếp tục sống, sống sót
suspect	nghi ngờ, hoài nghi; người khả nghi, người bị tình nghi
suspension girder 	dầm treo 
suspension of work	tạm ngừng thi công
suspicion	sự nghi ngờ, sự ngờ vực
suspicious	có sự nghi ngờ, tỏ ra nghi ngờ, khả nghi
sustained load 	tải trọng tác động lâu dài 
swallow	nuốt, nuốt chửng
swear	chửi rủa, nguyền rủa; thề, hứa
swearing	lời thề, lời nguyền rủa, lời thề hứa
sweat	mồ hôi; đổ mồ hôi
sweater	người ra mồ hôi,, kẻ bóc lột lao động
sweep	quét
sweet	ngọt, có vị ngọt; sự ngọt bùi, đồ ngọt
swell	phồng, sưng lên
swelling	sự sưng lên, sự phồng ra
swim	bơi lội
swimming	sự bơi lội
swimming pool	bể nước
swing	sự đu đưa, lúc lắc; đánh đu, đu đưa, lúc lắc
switch	công tắc, roi; tắt, bật, đánh bằng gậy, roi
switch  off	ngắt điện
switch  on	bật điện
swollen	sưng phồng, phình căng
swollen swell	phồng lên, sưng lên
symbol	biểu tượng, ký hiệu
symmetrical load 	tải trọng đối xứng, sự chất tải đối xứng 
sympathetic	đồng cảm, đáng mến, dễ thương
sympathy	sự đồng cảm, sự đồng ý
system	hệ thống, chế độ
t- beam 	dầm chữ t 
t- girder 	dầm chữ t 
table	cái bàn
tablet	tấm, bản, thẻ phiến
tackle	giải quyết, khắc phục, bàn thảo; đồ dùng, dụng cụ
tail	đuôi, đoạn cuối
tail load 	tải trọng lên đuôi (máy bay) 
take	sự cầm nắm, sự lấy
take  over	chở, chuyển cái gì; tiếp quản, kế tục cái gì
take advantage of	lợi dụng
take notice of	chú ý
take place	xảy ra, được cử hành, được tổ chức
take sth off	cởi, bỏ cái gì, lấy đi cái gì
taking over 	bàn giao
talk	nói chuyện, trò chuyện; cuộc trò chuyện, cuộc thảo luận
tall	cao
tamped concrete 	bê tông đầm 
tamping	đầm bê tông cho chặt
tangetial load 	tải trọng tiếp tuyến 
tank	thùng, két, bể
tap	mở vòi, đóng vồi; vòi, khóa
tape	băng, băng ghi âm; dải, dây
tar concrete 	bê tông nhựa đường 
target	bia, mục tiêu, đích
task	nhiệm vụ, nghĩa vụ, bài tập, công tác, công việc
taste	vị, vị giác; nếm
tax	thuế; đánh thuế
tax 	thuế
taxi	xe tắc xi
tea	cây chè, trà, chè
teach	dạy
teacher	giáo viên
teaching	sự dạy, công việc dạy học
team	đội, nhóm
tear	xé, làm rắch; chỗ rách, miếng xe; nước mắt
technical	kỹ thuật, chuyên môn
technique	kỹ sảo, kỹ thuật, phương pháp kỹ thuật
technology	kỹ thuật học, công nghệ học
tee girder 	dầm chữ t 
telephone	máy điện thoại, gọi điện thoại
television	vô tuyến truyền hình
tell	nói, nói với
temperature	nhiệt độ
temporarily	tạm
temporary	tạm thời, nhất thời
temporary works	các công trình tạm (của nhà thầu)
tenacity test	sự thử độ dai; sự thử độ bền đứt 
tend	trông nom, chăm sóc, giữ gìn, hầu hạ
tendency	xu hướng, chiều hướng, khuynh hướng
tensile load 	tải trọng kéo đứt 
tensile strength 	giới hạn bền kéo
tensile strength at days age	cường độ chịu kéo của bê tông ở ngày
tensile test	sự thử sức căng; sự thử kéo 
tension	sự căng, độ căng, tình trạng căng
tension reinforcement	cốt thép chịu kéo
tension reinforcement 	cốt (thép) chịu kéo 
tension test	sự thử sức căng; sự thử kéo 
tension zone in concrete	khu vực chịu kéo của bê tông
tensioning (tensioning operation)	công tác kéo căng cốt thép
tent	lều, rạp
term	giới hạn, kỳ hạn, khóa, kỳ học
terminating load 	tải trọng đặt ở đầu mút (dầm) 
termination 	ngừng, chấm dứt (hợp đồng)
terrible	khủng khiếp, ghê sợ
terribly	tồi tệ, không chịu nổi
test	bài kiểm tra, sự thử nghiệm, xét nghiệm; kiểm tra, xét nghiệm, thử nghiệm
test cube, cube	mẫu thử khối vuông bê tông
test load 	tải trọng thử 
tests 	kiểm tra, thử nghiệm
text	nguyên văn, bản văn, chủ đề, đề tì
than	hơn
thank	cám ơn
thank you	cảm ơn bạn
thanks	sự cảm ơn, lời cảm ơn
that	người ấy, đó, vật ấy, đó; rằng, là
the definite article	cái, con, người, ấy này....
the rest	vật, cái còn lại, những người, cái khác
the works to be completed by the intended completion date 	công trình phải được hoàn thành vào ngày hoàn thành dự kiến
theatre	rạp hát, nhà hát
their	của chúng, của chúng nó, của họ
theirs	của chúng, của chúng nó, của họ
them	chúng, chúng nó, họ
theme	đề tài, chủ đề
themselves	tự chúng, tự họ, tự
then	khi đó, lúc đó, tiếp đó
theory	lý thuyết, học thuyết
there	ở nơi đó, tại nơi đó
therefore	bởi vậy, cho nên, vì thế
thermal test	sự thử bằng nhiệt 
they	chúng, chúng nó, họ; những cái ấy
thick	dày; đậm
thick lead pencil 	bút chì đầu đậm (dùng để đánh dấu)
thickly	dày; dày đặc; thành lớp dày
thickness	tính chất dày, độ dày, bề dày
thief	kẻ trộm, kẻ cắp
thin	mỏng, mảnh
thing	cái, đồ, vật
think	nghĩ, suy nghĩ
thinking	sự suy nghĩ, ý nghĩ
thirsty	khát, cảm thấy khát
this	cái này, điều này, việc này
thorough	cẩn thận, kỹ lưỡng
thoroughly	kỹ lưỡng, thấu đáo, triệt để
though	dù, dù cho, mặc dù; mặc dù, tuy nhiên, tuy vậy
thought	sự suy nghĩ, khả năng suy nghĩ; ý nghĩ, tư tưởng, tư duy
thread	chỉ, sợi chỉ, sợi dây
threat	sự đe dọa, lời đe dọa
threaten	dọa, đe dọa
threatening	sự đe dọa, sự hăm dọa
three-hinged arch	vòm ba khớp
throat	cổ, cổ họng
through	qua, xuyên qua
through beam 	dầm liên tục, dầm suốt 
throughout	khắp, suốt
throw	ném, vứt, quăng
thrust reinforcement 	cốt (thép) chống cắt 
thumb	ngón tay cái
thursday	thứ 5
thus	như vậy, như thế, do đó
ticket	vé
tidy	sạch sẽ, ngăn nắp, gọn gàng; làm cho sạch sẽ, gọn gàng, ngăn nắp
tie	buộc, cột, trói; dây buộc, daay trói, dây giày
tie sth up	có quan hệ mật thiết, gắn chặt
tight	kín, chặt, chật
tightly	chặc chẽ, sít sao
till until	cho đến khi, tới lúc mà
tilting load 	tải trọng lật đổ 
time	thời gian, thì giờ
time control 	kiểm soát tiến độ
timetable	kế hoạch làm việc, thời gian biểu
tin	thiếc
tiny	rất nhỏ, nhỏ xíu
tip	đầu, mút, đỉnh, chóp; bịt đầu, lắp đầu vào
tire	làm mệt mỏi, trở nên mệt nhọc; lốp, vỏ xe
tired	mệt, muốn ngủ, nhàm chán
tiring	sự mệt mỏi, sự mệt nhọc
title	đầu đề, tiêu đề; tước vị, tư cách
to	theo hướng, tới
to extend reinforcement	kéo dài cốt thép
today	vào ngày này; hôm nay, ngày nay
toe	ngón chân
together	cùng nhau, cùng với
toilet	nhà vệ sinh; sự trang điểm
tomato	cà chua
tomorrow	vào ngày mai; ngày mai
ton	tấn
tone	tiếng, giọng
tongue	lưỡi
tonight	vào đêm nay, vào tối nay; đêm nay, tối nay
tonne	tấn
too	cũng
tool	dụng cụ, đồ dùng
tool steel	thép công cụ
tooth	răng
top	chóp, đỉnh; đứng đầu, trên hết
top beam 	dầm sàn; dầm đỉnh 
top lateral	thanh giằng chéo ở mọc thượng của dàn
top lateral strut	thanh giằng ngang ở mọc thượng của dàn
top reinforcement	cốt thép bên trên (của mặt cắt)
topic	đề tài, chủ đề
torque load 	tải trọng xoắn 
torsion test	sự thử xoắn 
tosbou	khoan
total	tổng cộng, toàn bộ; tổng số, toàn bộ số lượng
total angular change of tendon profile from jaching end to point x	tổng các góc uốn của đường trục cốt thép dự ứng lực từ đầu kích đến
total load 	tải trọng toàn phần, tải trọng tổng 
totally	hoàn toàn
touch	sờ, mó, tiếp xúc; sự sờ, sự mó, sự tiếp xúc
tough	chắc, bền, dai
toughness test	sự thử độ dai (va đập) 
tour	cuộc đo du lịch, cuộc đi dạo, chuyến du lịch; đi du lịch
tourist	khách du lịch
towards	theo hướng, về hướng
towel	khăn tắm, khăn lau
tower	tháp
town	thị trấn, thị xã, thành phố nhỏ
toy	đồ chơi, đồ trang trí; thể loại đồ chơi
trace	phát hiện, tìm thấy, vạch, chỉ ra, phác họa; dấu, vết, một chút
track	phần của đĩa; đường mòn, đường đua
traction load 	tải trọng kéo 
traction test	sự thử sức kéo 
trade	thương mại, buôn bán; buôn bán, trao đổi
trading	sự kinh doanh, việc mua bán
tradition	truyền thống
traditional	theo truyền thống, theo lối cổ
traditionally	truyền thống, là truyền thống
traffic	sự đi lại, sự giao thông, sự chuyển động
traffic load 	tải trọng chuyên chở 
train	xe lửa, tàu hỏa; dạy, rèn luyện, đào tạo
training	sự dạy dỗ, sự huấn luyện, sự đào tạo
transfer	dời, di chuyển; sự di chuyển, sự dời chỗ
transform	thay đổi, biến đổi
transient load 	tải trọng ngắn hạn, tải trọng nhất thời 
transit-mix concrete 	bê tông trộn trên xe 
translate	dịch, biên dịch, phiên dịch
translation	sự dịch
transonic test	sự thử bằng xuyên âm 
transparent	trong suốt; dễ hiểu, sáng sủa
transport	sự vận chuyển, sự vận tải; phương tiện đi lại
transport	chuyên chở, vận tải
transverse beam 	dầm ngang, đà ngang 
transverse reinforcement	cốt thép ngang
transverse strength 	độ bền uốn ngang
transverse test	sự thử uốn ngang 
transversely loaded beam 	dầm chịu tải trọng ngang 
trap	đồ đạc, hành lý; bẫy, cạm bãy; bẫy, giữ, chặn lại
trass concrete 	bê tông puzolan 
travel	đi lại, đi du lịch, di chuyển; sự đi, những chuyến đi
traveller	người đi, lữ khách
treat	đối xử, đối đãi, cư xử
treatment	sự đối xử, sự cư xử
tree	cây
trellis girder 	giàn mắt cáo 
tremie concrete 	bê tông đổ dưới nước 
trend	phương hướng, xu hướng, chiều hướng
trial	sự thử nghiệm, cuộc thử nghiệm
trial load 	tải trọng thử 
trial test	phép thử sơ bộ 
triangle	hình tam giác
trick	mưu mẹo, thủ đoạn, trò lừa gatj; lừa, lừa gạt
trip	cuộc dạo chơi, cuộc du ngoạn; đi dạo, du ngoạn
tropical	nhiệt đới
trouble	điều lo lắng, điều muộn phiền
trough girder 	dầm chữ u, dầm lòng máng 
trousers	quần
trowel 	cái bay thợ nề
truck	rau quả tươi
true	đúng, thật
truly	đúng sự thật, đích thực, thực sự
